job_company,job_education,job_industry,job_listed,job_location,job_name            ,job_persons,job_salary,job_time ,job_year
三一集团       ,本科           ,其他行业        ,已上市       ,北京 昌平区 回龙观  ,定位与高精地图算法工程师        ,10000人以上   ,20k-40k   ,发布于09:34 ,3-5年
丽晶美成       ,硕士           ,咨询          ,未融资       ,北京 海淀区 上地   ,高级路径规划与决策算法工程师      ,20-99人     ,35k-60k   ,发布于02月24日,3-5年
任意门科技      ,硕士           ,社交网络        ,C轮        ,北京 海淀区 中关村  ,图像图像高级算法工程师         ,100-499人   ,25k-50k   ,发布于02月14日,1-3年
蔚蓝鬼计       ,硕士           ,移动互联网       ,C轮        ,北京 海淀区 五道口  ,广告算法工程师             ,100-499人   ,60k-90k   ,发布于02月20日,3-5年
神州泰岳       ,本科           ,数据服务        ,          ,北京 朝阳区 大屯   ,高级算法工程师             ,100-499人   ,15k-25k   ,发布于昨天    ,3-5年
精诊科技       ,硕士           ,医疗健康        ,天使轮       ,北京 海淀区 五棵松  ,算法工程师               ,20-99人     ,15k-30k   ,发布于02月24日,经验不限
阿里巴巴高德     ,本科           ,互联网         ,已上市       ,北京 朝阳区 望京   ,数据挖掘算法工程师/专家        ,1000-9999人 ,35k-50k   ,发布于02月19日,1-3年
好好住        ,本科           ,互联网         ,B轮        ,北京 朝阳区 望京   ,算法工程师（用户画像）         ,100-499人   ,20k-40k   ,发布于02月15日,3-5年
京东数字科技     ,硕士           ,互联网         ,不需要融资     ,北京          ,数据挖掘算法工程师           ,1000-9999人 ,20k-40k   ,发布于02月22日,3-5年
天学网        ,硕士           ,互联网         ,已上市       ,北京 海淀区 人民大学 ,NLP算法工程师（中高级）       ,500-999人   ,20k-40k   ,发布于02月18日,3-5年
爱医声        ,硕士           ,计算机软件       ,天使轮       ,北京 海淀区 学院路  ,算法工程师               ,0-20人      ,15k-30k   ,发布于昨天    ,经验不限
羿娲科技       ,硕士           ,计算机软件       ,A轮        ,北京 海淀区 清河   ,视觉算法工程师             ,20-99人     ,20k-40k   ,发布于02月25日,经验不限
快手         ,硕士           ,社交网络        ,D轮及以上     ,北京 海淀区 上地   ,图像处理算法工程师 - 美颜滤镜方向  ,1000-9999人 ,30k-60k   ,发布于02月16日,3-5年
财税智库       ,本科           ,互联网         ,A轮        ,北京 海淀区 中关村  ,算法工程师               ,20-99人     ,30k-35k   ,发布于09:54 ,经验不限
