job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 望京   ,Java研发         ,10000人以上   ,20k-40k   ,发布于昨天    ,1-3年
互连众信       ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 团结湖  ,java开发工程师      ,1000-9999人 ,15k-21k   ,发布于02月20日,3-5年
今日头条       ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Java开发工程师      ,10000人以上   ,15k-30k   ,发布于02月26日,应届生
京东数字科技     ,本科           ,互联网         ,不需要融资     ,北京          ,Java           ,1000-9999人 ,20k-40k   ,发布于09:23 ,3-5年
瓜子二手车直卖网   ,本科           ,分类信息        ,C轮        ,北京 海淀区 上地   ,Java           ,10000人以上   ,20k-40k   ,发布于02月22日,3-5年
慧博云通       ,本科           ,计算机软件       ,B轮        ,北京 西城区 金融街  ,Java中级         ,1000-9999人 ,15k-18k   ,发布于02月21日,3-5年
中冶京诚工程技术...,本科           ,机械设备/机电/重工  ,已上市       ,北京 大兴区 亦庄   ,Java           ,1000-9999人 ,8k-9k     ,发布于02月25日,1年以内
软通动力       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 万柳   ,Java工程师        ,10000人以上   ,10k-15k   ,发布于13:47 ,3-5年
VIPKID     ,本科           ,移动互联网       ,D轮及以上     ,北京          ,java开发         ,10000人以上   ,15k-30k   ,发布于昨天    ,5-10年
中科软        ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 双井   ,Java工程师        ,10000人以上   ,5k-9k     ,发布于02月24日,经验不限
阿里云        ,本科           ,互联网         ,已上市       ,北京 朝阳区 望京   ,Java           ,1000-9999人 ,35k-55k   ,发布于10:48 ,3-5年
互连众信       ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 团结湖  ,中级Java         ,1000-9999人 ,15k-20k   ,发布于02月22日,3-5年
京东集团       ,本科           ,电子商务        ,已上市       ,北京 通州区      ,Java           ,10000人以上   ,12k-24k   ,发布于08:37 ,1-3年
银河创想       ,本科           ,移动互联网       ,未融资       ,北京 西城区 广安门  ,高级Java         ,500-999人   ,15k-20k   ,发布于11:06 ,5-10年
支付宝        ,本科           ,移动互联网       ,B轮        ,北京 朝阳区 朝外   ,Java           ,10000人以上   ,20k-40k   ,发布于02月25日,5-10年
中软国际       ,本科           ,计算机软件       ,已上市       ,北京 西城区 金融街  ,Java工程师        ,10000人以上   ,10k-14k   ,发布于02月25日,3-5年
京北方        ,本科           ,互联网金融       ,C轮        ,北京          ,中高级java        ,10000人以上   ,12k-18k   ,发布于02月18日,5-10年
蚂蚁金服       ,本科           ,互联网         ,C轮        ,北京 朝阳区 朝外   ,Java测试开发专家     ,10000人以上   ,25k-50k   ,发布于02月18日,3-5年
